age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59,technician,married,secondary,no,315.3553328933941,no,no,cellular,14,aug,200,4,-1,0,unknown,no
42,admin.,married,secondary,no,486.01281962241524,yes,no,unknown,7,may,202,2,-1,0,unknown,no
27,management,single,secondary,no,212.24510308283374,yes,no,unknown,3,jun,732,2,-1,0,unknown,yes
26,blue-collar,married,secondary,no,2941.5247525145305,yes,no,unknown,8,may,141,1,-1,0,unknown,no
29,blue-collar,single,secondary,no,284.2528605355905,no,no,unknown,14,jun,434,1,96,6,other,yes
29,management,single,tertiary,no,99.96349612960019,no,no,cellular,2,jun,101,1,92,5,success,no
32,management,married,tertiary,no,1198.7971203797915,no,no,cellular,19,aug,232,3,-1,0,unknown,yes
33,management,married,tertiary,no,673.3129590083477,yes,no,cellular,13,aug,275,5,-1,0,unknown,no
38,technician,single,secondary,no,-231.9763224956458,yes,no,cellular,18,may,1173,3,278,6,success,yes
31,services,married,secondary,no,489.40674194861464,no,no,cellular,4,jun,327,3,77,3,success,yes
41,blue-collar,single,primary,no,0.0,yes,no,unknown,16,may,522,5,-1,0,unknown,no
34,admin.,divorced,secondary,no,635.9715038114425,yes,no,unknown,7,may,283,2,-1,0,unknown,no
25,unemployed,single,primary,no,104.6561217841387,no,no,cellular,12,apr,176,3,-1,0,unknown,yes
53,management,married,tertiary,no,541.5156725113244,no,no,cellular,17,nov,226,1,184,4,success,yes
54,management,married,unknown,no,22.29786870841012,no,no,cellular,31,jul,12,10,-1,0,unknown,no
24,admin.,single,tertiary,no,0.0,yes,no,cellular,27,may,122,2,-1,0,unknown,yes
80,retired,married,secondary,no,7580.081376578979,no,no,telephone,8,sep,606,3,91,13,success,yes
25,admin.,single,secondary,no,84.50626271923755,no,yes,cellular,7,apr,104,2,-1,0,unknown,yes
41,technician,single,unknown,no,292.82025039878454,yes,no,unknown,13,may,93,2,-1,0,unknown,no
29,blue-collar,married,secondary,no,236.9612778219434,yes,no,cellular,28,jul,194,5,-1,0,unknown,no
25,technician,single,secondary,no,1206.7464598105362,no,no,cellular,2,sep,206,7,94,2,other,no
55,management,married,primary,no,22.32228319895983,yes,no,unknown,16,may,56,3,-1,0,unknown,no
48,blue-collar,married,primary,no,255.55758353829668,yes,yes,cellular,18,nov,246,1,162,1,failure,no
56,blue-collar,married,primary,no,3081.5472044301478,no,no,cellular,15,apr,264,2,-1,0,unknown,yes
34,admin.,single,secondary,no,671.0597611167809,yes,no,cellular,29,jan,89,1,260,2,failure,no
52,unemployed,married,secondary,no,1349.238829691425,no,no,cellular,10,mar,436,2,182,1,success,yes
54,management,divorced,tertiary,no,10903.321372428883,yes,no,cellular,21,dec,267,2,-1,0,unknown,yes
32,blue-collar,single,secondary,no,17253.79949073257,no,no,unknown,21,may,738,3,-1,0,unknown,no
30,admin.,divorced,secondary,no,88.90477673913973,yes,yes,unknown,6,may,310,1,-1,0,unknown,no
73,retired,married,primary,no,541.3531405323643,no,no,cellular,9,mar,176,1,-1,0,unknown,yes
34,admin.,single,secondary,no,2064.470297728715,yes,no,unknown,23,may,297,1,-1,0,unknown,no
51,entrepreneur,married,secondary,no,-828.3031840666941,no,yes,cellular,15,jul,1001,3,-1,0,unknown,yes
39,management,married,secondary,no,2456.746533150732,no,no,cellular,26,mar,200,1,-1,0,unknown,yes
43,technician,married,secondary,no,4342.111743713218,no,no,cellular,4,may,13,6,89,2,failure,no
31,admin.,married,secondary,no,1236.9853351516783,yes,no,cellular,23,jul,236,5,-1,0,unknown,no
31,management,married,tertiary,no,1354.533352957848,yes,no,cellular,30,jan,203,2,2,3,other,no
42,unknown,single,unknown,yes,61.047900336606695,no,no,unknown,20,jun,115,1,-1,0,unknown,no
41,technician,married,tertiary,no,-16.977981427072006,yes,no,cellular,6,may,33,1,-1,0,unknown,no
39,blue-collar,single,secondary,no,177.44260104915082,yes,no,unknown,9,may,38,1,-1,0,unknown,no
29,technician,single,tertiary,no,0.0,yes,no,cellular,7,may,347,2,337,6,failure,yes
54,technician,married,unknown,no,261.0808870270443,yes,no,cellular,29,oct,142,1,-1,0,unknown,yes
26,blue-collar,single,secondary,no,495.6198078235954,no,yes,cellular,7,jul,575,1,-1,0,unknown,no
45,admin.,married,secondary,no,3583.1127043748234,no,no,cellular,29,apr,388,2,-1,0,unknown,yes
37,management,married,tertiary,no,6812.525272206574,no,no,cellular,20,nov,757,2,-1,0,unknown,no
30,management,married,tertiary,no,1284.7938580182042,yes,no,telephone,25,jul,279,4,-1,0,unknown,yes
29,entrepreneur,married,secondary,no,843.1390124882589,yes,yes,cellular,13,may,482,2,-1,0,unknown,yes
51,blue-collar,married,secondary,no,33.45060443393849,no,yes,unknown,16,jun,721,3,-1,0,unknown,yes
41,entrepreneur,married,primary,no,31.67383387318253,yes,no,cellular,21,nov,549,2,-1,0,unknown,yes
36,technician,single,secondary,no,1185.3809966212827,yes,no,cellular,4,may,303,3,-1,0,unknown,yes
78,retired,married,unknown,no,2886.1994524324095,no,no,telephone,20,may,351,3,-1,0,unknown,yes
31,management,single,tertiary,no,10580.504465872551,no,no,cellular,25,nov,372,1,-1,0,unknown,yes
30,management,single,tertiary,no,3436.6913098360446,no,no,cellular,13,apr,1093,1,-1,0,unknown,yes
36,management,single,tertiary,no,376.8124743488648,yes,yes,cellular,29,jul,102,3,-1,0,unknown,no
44,technician,married,primary,no,691.248751983106,no,yes,cellular,31,jul,829,4,-1,0,unknown,yes
77,retired,married,primary,no,3932.201938521284,no,no,cellular,13,may,289,1,91,5,success,yes
46,technician,divorced,secondary,no,102.99868580893572,yes,no,cellular,19,nov,178,3,183,2,other,no
25,technician,single,secondary,no,1221.0857504344458,no,no,cellular,1,jun,287,1,-1,0,unknown,yes
32,housemaid,married,primary,no,-173.86317053971717,yes,no,cellular,6,feb,129,2,197,1,failure,no
53,services,divorced,secondary,no,0.0,no,no,cellular,12,mar,80,2,-1,0,unknown,yes
36,services,married,secondary,no,531.1012445032706,yes,no,cellular,17,apr,333,2,324,1,other,no
37,management,married,tertiary,no,1975.3772594339225,no,no,cellular,6,aug,303,2,92,4,success,yes
41,entrepreneur,married,secondary,no,598.8045614958236,no,no,unknown,18,jun,707,1,-1,0,unknown,yes
34,blue-collar,divorced,secondary,no,1004.07338006743,yes,yes,cellular,19,nov,141,2,-1,0,unknown,no
32,management,married,tertiary,no,1583.2978644972657,yes,no,cellular,30,apr,753,1,-1,0,unknown,yes
30,entrepreneur,single,primary,no,0.0,yes,yes,unknown,27,may,1051,1,-1,0,unknown,yes
49,blue-collar,married,secondary,no,128.78936363861743,no,no,cellular,6,aug,275,1,-1,0,unknown,no
25,student,single,secondary,no,413.2418744101972,no,no,cellular,10,aug,245,1,-1,0,unknown,yes
37,blue-collar,married,secondary,no,373.2089868537893,yes,no,unknown,7,may,944,3,-1,0,unknown,no
50,technician,married,secondary,no,354.9903950648816,yes,no,unknown,5,jun,494,5,-1,0,unknown,yes
46,technician,married,unknown,no,577.2965676361028,yes,no,cellular,20,apr,780,2,-1,0,unknown,no
52,unemployed,married,secondary,no,4705.189025042406,no,no,cellular,26,may,309,1,-1,0,unknown,no
30,blue-collar,single,secondary,no,135.68984611031655,no,no,cellular,2,apr,206,1,-1,0,unknown,no
42,management,married,tertiary,no,161.90890715236918,no,no,cellular,4,mar,148,1,87,4,failure,yes
48,blue-collar,married,secondary,no,8081.44277882209,no,yes,cellular,4,feb,101,2,-1,0,unknown,no
47,technician,married,secondary,no,0.0,no,no,unknown,11,nov,74,1,-1,0,unknown,no
31,technician,single,secondary,no,2364.667762273874,no,no,cellular,5,aug,123,1,-1,0,unknown,no
25,blue-collar,single,primary,no,2050.683330711934,no,no,cellular,10,jul,1499,3,-1,0,unknown,yes
24,student,single,tertiary,no,742.6278275135841,no,no,cellular,9,sep,679,1,-1,0,unknown,yes
60,management,married,secondary,no,0.0,no,no,cellular,20,may,321,4,87,8,failure,no
55,retired,married,primary,no,1.7815962998337966,no,no,unknown,27,jun,392,4,-1,0,unknown,no
58,unemployed,married,secondary,no,649.5269599301918,yes,no,cellular,7,aug,221,1,99,2,success,yes
42,management,married,tertiary,no,277.09735124549167,no,no,cellular,26,aug,513,1,-1,0,unknown,yes
43,management,divorced,unknown,no,7069.080735732879,no,no,cellular,22,may,460,1,95,2,success,yes
34,management,married,tertiary,no,432.8925817517566,yes,no,cellular,12,aug,1307,4,-1,0,unknown,yes
34,management,married,tertiary,no,110.86643198852877,no,yes,telephone,17,jul,171,3,-1,0,unknown,no
30,blue-collar,single,secondary,no,183.62426500363728,no,no,cellular,5,feb,232,1,365,1,failure,no
62,retired,married,secondary,no,3367.413510329463,no,no,cellular,18,may,243,2,186,1,success,yes
33,management,married,tertiary,no,22588.393550142486,yes,no,cellular,10,aug,73,1,440,2,failure,no
35,services,married,tertiary,no,4995.1375955140375,no,no,cellular,18,aug,45,6,-1,0,unknown,no
40,blue-collar,divorced,secondary,no,-445.0445538934805,no,yes,unknown,26,may,245,1,-1,0,unknown,no
32,admin.,single,secondary,no,4172.096094579233,yes,no,cellular,17,nov,79,2,118,3,failure,no
59,retired,married,primary,no,0.0,yes,no,cellular,28,jul,20,4,-1,0,unknown,no
60,retired,divorced,secondary,no,430.3052217712367,no,no,cellular,15,oct,187,2,213,10,success,yes
54,blue-collar,married,secondary,no,438.61150718869976,yes,no,cellular,18,nov,172,2,104,2,failure,no
55,unemployed,married,secondary,no,1687.8915252812503,yes,no,cellular,4,feb,969,2,-1,0,unknown,no
29,unemployed,single,secondary,no,1253.1330160662465,no,no,cellular,23,sep,427,1,603,1,failure,yes
46,technician,married,secondary,no,611.6720348726649,yes,no,unknown,16,jun,750,2,-1,0,unknown,yes
86,retired,divorced,unknown,no,145.7499787616983,no,no,telephone,7,sep,147,1,-1,0,unknown,no
32,blue-collar,married,secondary,yes,-256.55406594973937,yes,no,unknown,27,may,427,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,11.331298485281188,yes,no,unknown,9,may,1692,2,-1,0,unknown,yes
35,blue-collar,married,primary,no,94.76629014026018,yes,no,unknown,8,may,369,2,-1,0,unknown,no
60,management,married,tertiary,no,87.26517359226521,no,no,unknown,11,jun,48,3,-1,0,unknown,no
77,retired,married,primary,no,2703.1253276433013,no,no,telephone,13,nov,212,3,277,12,failure,yes
42,services,single,secondary,no,3173.2065935580827,yes,no,cellular,7,aug,215,1,99,1,failure,yes
30,admin.,single,secondary,no,370.6694866859606,yes,no,cellular,4,feb,1121,2,-1,0,unknown,yes
40,admin.,married,secondary,no,-725.6764683256653,yes,no,unknown,27,may,107,2,-1,0,unknown,no
34,blue-collar,single,primary,no,74.49129768654751,no,no,telephone,10,jul,336,4,-1,0,unknown,yes
53,retired,married,secondary,no,539.659842493143,yes,no,cellular,22,apr,371,2,-1,0,unknown,yes
23,student,single,secondary,no,1903.0766491020652,no,no,cellular,8,jul,414,2,-1,0,unknown,yes
30,management,single,tertiary,yes,30.686544584597307,no,no,cellular,30,jul,185,4,-1,0,unknown,no
40,technician,divorced,tertiary,no,593.8896099834751,yes,no,unknown,24,oct,112,1,-1,0,unknown,yes
30,management,married,tertiary,no,1693.285757062123,yes,yes,cellular,21,nov,436,2,178,3,other,yes
32,entrepreneur,married,tertiary,no,0.0,yes,yes,cellular,18,nov,95,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,466.33886813827263,yes,no,unknown,21,may,373,2,-1,0,unknown,no
47,admin.,single,secondary,no,695.4579188400932,yes,no,unknown,7,may,161,1,-1,0,unknown,no
54,management,divorced,tertiary,no,5490.726141152799,no,no,cellular,21,oct,1032,1,91,4,success,yes
44,services,married,secondary,no,197.27155342139085,yes,yes,cellular,7,may,490,1,-1,0,unknown,no
35,technician,married,tertiary,no,364.9777107385862,no,no,cellular,12,aug,104,8,-1,0,unknown,no
30,technician,married,secondary,no,315.9145989970839,yes,no,cellular,14,aug,1184,4,-1,0,unknown,yes
28,technician,single,tertiary,no,0.0,yes,no,cellular,15,apr,217,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,-83.94087614038335,no,no,cellular,29,jan,173,1,164,4,other,no
37,blue-collar,married,unknown,no,-850.4072944423051,yes,no,unknown,2,jun,548,2,-1,0,unknown,no
38,technician,single,tertiary,no,0.0,no,no,cellular,28,aug,247,2,-1,0,unknown,no
42,management,married,tertiary,no,5808.127333389464,yes,no,cellular,30,apr,316,1,350,2,failure,yes
25,services,single,secondary,no,544.8634105805993,no,no,cellular,4,jun,89,2,-1,0,unknown,yes
58,housemaid,married,primary,no,1151.1832680865602,yes,yes,cellular,22,jul,1226,2,-1,0,unknown,no
35,technician,single,secondary,no,1003.208112778309,no,no,cellular,18,mar,593,4,90,6,other,yes
38,blue-collar,single,secondary,no,-66.37388130085728,yes,yes,unknown,6,jun,247,2,-1,0,unknown,no
52,management,married,tertiary,no,4018.769100551013,no,no,cellular,12,feb,181,3,-1,0,unknown,yes
32,management,single,tertiary,no,2919.9757390105397,no,no,cellular,12,aug,623,2,191,2,success,yes
35,management,divorced,tertiary,no,22.232632195333455,no,no,cellular,16,apr,78,2,-1,0,unknown,yes
24,admin.,single,secondary,no,193.52393662557367,no,no,cellular,10,sep,256,2,-1,0,unknown,yes
26,self-employed,single,tertiary,no,2577.776433207295,no,no,cellular,3,jul,446,1,-1,0,unknown,yes
52,admin.,married,secondary,no,665.1240749416604,no,no,cellular,26,oct,99,2,185,3,failure,no
32,management,single,tertiary,no,0.0,no,no,cellular,22,aug,148,2,-1,0,unknown,no
50,management,married,tertiary,no,3159.132295508257,no,yes,cellular,28,oct,96,1,-1,0,unknown,yes
43,services,married,tertiary,no,4815.41008722073,no,no,cellular,24,dec,150,2,195,2,success,yes
41,unknown,single,tertiary,no,1399.3001622119446,no,no,cellular,1,jul,291,2,-1,0,unknown,no
43,blue-collar,single,secondary,no,711.680069277309,yes,no,unknown,20,jun,585,2,-1,0,unknown,yes
56,blue-collar,married,primary,no,984.5288538204393,yes,no,telephone,15,may,462,4,-1,0,unknown,yes
33,technician,single,secondary,no,19.42833483436997,no,no,cellular,22,aug,93,2,-1,0,unknown,no
56,management,married,tertiary,no,13453.578281805938,yes,no,cellular,26,may,410,1,551,5,other,yes
28,admin.,single,unknown,no,21.927507685471365,yes,no,cellular,18,jul,415,2,-1,0,unknown,yes
32,services,married,secondary,no,263.1997886194872,yes,no,unknown,29,may,202,1,-1,0,unknown,no
38,housemaid,divorced,secondary,no,71.52720551431605,no,no,cellular,27,jan,164,4,92,4,success,yes
80,retired,divorced,primary,no,237.37025099502785,no,no,cellular,31,mar,577,1,223,3,other,yes
45,services,single,secondary,no,1669.2275607626561,no,no,unknown,20,jun,14,4,-1,0,unknown,no
34,services,single,secondary,no,472.57347158198746,yes,no,cellular,2,sep,121,3,100,5,other,yes
56,admin.,married,secondary,no,411.55637478054945,yes,no,cellular,10,jul,288,1,-1,0,unknown,no
30,blue-collar,divorced,secondary,yes,511.01629756482737,yes,no,unknown,20,jun,115,20,-1,0,unknown,no
18,student,single,primary,no,572.7895126628966,no,no,cellular,12,aug,267,1,-1,0,unknown,yes
33,blue-collar,married,primary,no,4347.594629596226,yes,no,unknown,2,jun,445,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,-91.58759447014813,yes,no,unknown,5,jun,135,2,-1,0,unknown,no
36,blue-collar,married,primary,no,413.055147333967,yes,yes,unknown,20,may,1063,2,-1,0,unknown,yes
62,housemaid,married,unknown,no,2348.1394935246162,no,no,telephone,26,feb,361,1,-1,0,unknown,yes
36,management,divorced,tertiary,no,76.51963172816491,no,yes,cellular,22,jul,560,1,-1,0,unknown,yes
60,management,married,tertiary,no,2436.4501880063917,no,no,cellular,5,feb,230,2,-1,0,unknown,yes
38,technician,single,tertiary,no,108.31694296281792,no,no,unknown,17,jun,1051,3,-1,0,unknown,yes
36,management,single,tertiary,no,1454.7904673730643,no,no,cellular,25,may,189,1,186,1,failure,yes
52,blue-collar,married,secondary,no,1535.9792079827273,no,no,telephone,30,apr,37,2,-1,0,unknown,no
48,blue-collar,divorced,primary,no,2235.308407403198,no,no,unknown,20,jun,23,3,-1,0,unknown,no
61,retired,married,tertiary,no,2884.2230852601633,yes,no,cellular,11,aug,139,3,190,1,success,yes
55,technician,married,tertiary,no,1347.8687114294903,no,no,cellular,28,apr,387,2,-1,0,unknown,yes
38,services,married,tertiary,no,0.0,yes,no,cellular,17,apr,239,1,147,4,failure,no
41,technician,married,secondary,no,10762.455069950869,yes,no,telephone,15,jul,141,4,-1,0,unknown,no
38,technician,single,tertiary,no,5016.733886842052,yes,no,cellular,20,nov,370,1,184,1,failure,no
46,management,married,secondary,no,4954.915980720305,no,no,cellular,6,aug,472,1,-1,0,unknown,no
36,services,married,secondary,no,12140.70163659124,yes,no,telephone,29,jul,268,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,1862.8710129907972,yes,no,cellular,20,apr,342,1,-1,0,unknown,no
44,self-employed,married,unknown,no,591.348058871851,yes,no,telephone,30,jul,84,4,-1,0,unknown,no
55,management,married,unknown,no,1260.0519098663474,yes,no,cellular,31,aug,186,3,101,2,success,yes
72,self-employed,married,tertiary,no,151.5940363498857,no,no,cellular,1,jul,260,2,65,1,success,yes
59,retired,single,secondary,no,2.204697843953301,no,no,telephone,2,feb,935,1,-1,0,unknown,yes
33,technician,married,tertiary,no,19620.740460332756,yes,no,unknown,29,may,58,1,-1,0,unknown,no
59,retired,married,tertiary,no,1443.0549220739672,no,no,cellular,11,aug,862,11,-1,0,unknown,no
54,technician,divorced,secondary,no,2034.2239054047777,yes,no,cellular,3,feb,261,1,195,4,failure,yes
40,unemployed,single,tertiary,no,7146.527430822547,no,no,cellular,2,jun,596,1,-1,0,unknown,yes
36,unemployed,divorced,secondary,no,6771.560457456162,no,no,unknown,18,jun,321,2,-1,0,unknown,no
26,student,single,tertiary,no,11687.63640380737,no,no,cellular,21,apr,110,2,-1,0,unknown,yes
28,services,single,secondary,no,370.13693622056655,yes,no,cellular,18,may,115,2,-1,0,unknown,no
31,admin.,single,secondary,no,580.6972084071234,no,yes,cellular,2,feb,323,1,109,5,failure,no
48,services,divorced,secondary,no,71.07702284920742,yes,no,cellular,8,may,561,1,-1,0,unknown,no
30,services,divorced,secondary,no,1375.6510871911196,yes,no,cellular,18,may,13,3,355,5,failure,no
52,blue-collar,married,secondary,no,5579.900512866549,no,yes,cellular,22,jul,1029,3,-1,0,unknown,no
57,unknown,married,unknown,no,20632.332767019143,no,no,unknown,23,oct,301,1,-1,0,unknown,yes
60,blue-collar,married,primary,no,530.4412274516924,no,no,cellular,12,aug,429,2,-1,0,unknown,yes
48,management,divorced,tertiary,no,1476.8180098979826,yes,no,unknown,20,jun,72,3,-1,0,unknown,no
47,management,single,tertiary,no,75.54484843790135,no,no,cellular,2,feb,1086,1,-1,0,unknown,yes
26,technician,married,secondary,no,297.90585220874135,no,yes,cellular,8,jul,1061,4,-1,0,unknown,yes
36,technician,single,secondary,no,324.39866070528933,yes,yes,cellular,29,jul,367,1,-1,0,unknown,no
34,technician,married,tertiary,no,97.94167195346279,no,no,cellular,20,aug,196,2,-1,0,unknown,no
57,unemployed,married,secondary,no,3590.998495190116,no,no,cellular,5,feb,1063,2,-1,0,unknown,yes
36,self-employed,single,tertiary,no,-117.07172429874315,yes,yes,telephone,17,oct,3253,1,-1,0,unknown,yes
42,self-employed,married,secondary,no,0.0,no,no,cellular,14,aug,277,4,-1,0,unknown,no
21,student,single,primary,no,7990.066968117426,no,no,cellular,29,oct,445,1,-1,0,unknown,yes
30,services,single,secondary,no,1922.3689118729255,yes,no,cellular,21,jul,153,2,-1,0,unknown,no
54,management,married,tertiary,no,163.9364323646588,no,no,cellular,21,nov,70,1,-1,0,unknown,no
38,management,single,tertiary,no,581.7686007595918,no,no,cellular,9,jul,171,3,-1,0,unknown,no
59,management,married,primary,no,342.58107026302235,yes,no,unknown,2,jun,72,3,-1,0,unknown,no
31,blue-collar,divorced,secondary,no,1255.5803760040192,no,yes,unknown,15,may,548,1,-1,0,unknown,no
37,management,single,tertiary,no,2194.0163616695218,no,no,cellular,21,nov,158,3,114,1,failure,no
30,management,single,tertiary,no,3853.7573858623773,no,no,cellular,12,mar,1209,2,-1,0,unknown,yes
32,services,divorced,tertiary,no,305.5827476563837,yes,no,unknown,20,may,102,2,-1,0,unknown,no
49,management,married,tertiary,no,1.0290092514282752,no,no,telephone,4,may,1076,3,175,1,success,yes
52,housemaid,married,secondary,no,197.31916345671056,no,no,cellular,20,nov,208,1,-1,0,unknown,no
30,management,single,tertiary,no,182.74763500904723,no,yes,cellular,4,feb,111,1,204,2,other,no
49,services,married,secondary,no,327.95126713650734,yes,no,telephone,14,jul,162,3,-1,0,unknown,no
46,technician,single,secondary,no,5006.787252472584,no,no,cellular,1,jun,84,1,-1,0,unknown,yes
35,management,single,tertiary,no,1450.2461857983578,yes,no,cellular,21,apr,333,3,-1,0,unknown,yes
38,management,married,tertiary,yes,285.2578342981509,yes,yes,cellular,9,jul,556,5,-1,0,unknown,yes
51,blue-collar,married,primary,no,3824.3523496390594,no,no,telephone,9,mar,450,3,181,6,success,yes
30,technician,single,tertiary,no,3.5096810634513123,yes,no,unknown,7,may,174,1,-1,0,unknown,no
38,blue-collar,married,primary,no,3737.4262155157658,yes,no,unknown,20,jun,324,5,-1,0,unknown,no
35,technician,married,secondary,no,112.98280339929379,no,yes,cellular,29,jan,456,1,205,2,other,no
31,services,married,secondary,no,2258.7317479953986,yes,no,cellular,18,nov,271,5,-1,0,unknown,no
48,admin.,single,secondary,no,407.73808070890783,yes,yes,unknown,18,jun,533,3,-1,0,unknown,no
29,services,single,primary,no,274.4212631559493,no,no,unknown,4,jul,1576,3,-1,0,unknown,yes
37,housemaid,married,secondary,no,6388.056727910374,no,yes,cellular,5,feb,630,3,-1,0,unknown,yes
45,admin.,married,secondary,no,122.38651807422691,yes,no,cellular,11,aug,173,1,-1,0,unknown,no
28,self-employed,single,tertiary,no,185.9917828302743,no,no,unknown,11,nov,158,1,-1,0,unknown,yes
25,student,single,secondary,no,2518.0262553925013,no,no,cellular,5,feb,226,7,-1,0,unknown,yes
31,self-employed,married,tertiary,no,138.16915523024292,no,no,cellular,4,feb,193,2,-1,0,unknown,yes
43,blue-collar,married,secondary,no,715.8679968762677,no,no,cellular,17,jul,156,1,-1,0,unknown,no
31,services,married,secondary,no,485.2192109039583,yes,no,unknown,21,may,272,1,-1,0,unknown,no
24,admin.,single,tertiary,no,591.2620825016743,yes,no,cellular,6,jul,267,1,-1,0,unknown,yes
